player_id,player_name,player_nickname,jersey_number,country_id,country_name,position_id,position_name,team_name
6886,Dídac Vilá Rosselló,Dídac Vilá,12,214,Spain,6,Left Back,Espanyol
6902,Óscar Melendo Jiménez,Óscar Melendo,14,214,Spain,19,Center Attacking Midfield,Espanyol
11391,Borja Iglesias Quintas,Borja Iglesias,7,214,Spain,23,Center Forward,Espanyol
4407,Sanjin Prcić,,8,28,Bosnia and Herzegovina,9,Right Defensive Midfield,Levante UD
6668,José Luis Morales Nogales,José Luis Morales,11,214,Spain,2,Right Back,Levante UD
6672,Jorge Andújar Moreno,Coke,12,214,Spain,3,Right Center Back,Levante UD
6678,Emmanuel Okyere Boateng,Emmanuel Boateng,21,86,Ghana,22,Right Center Forward,Levante UD
6680,Rubén Rochina Naixes,Rubén Rochina,16,214,Spain,19,Center Attacking Midfield,Levante UD
6681,José Manuel Rodríguez Benito,Chema,6,214,Spain,,,Levante UD
6682,Sergio Postigo Redondo,Sergio Postigo,15,214,Spain,4,Center Back,Levante UD
6684,Roger Martí Salvador,Roger Martí,9,214,Spain,,,Levante UD
6688,José Ángel Gómez Campaña,José Campaña,24,214,Spain,11,Left Defensive Midfield,Levante UD
6691,David Remeseiro Salgueiro,Jason,23,214,Spain,12,Right Midfield,Levante UD
6692,Oier Olazábal Paredes,Oier Olazábal,13,214,Spain,1,Goalkeeper,Levante UD
6782,Enis Bardhi,,10,135,"Macedonia, Republic of",16,Left Midfield,Levante UD
6784,Antonio García Aranda,Toño,3,214,Spain,6,Left Back,Levante UD
6807,Roberto Suárez Pier,Rober,4,214,Spain,5,Left Center Back,Levante UD
6809,Erick Cathriel Cabaco Almada,Erick Cabaco,18,242,Uruguay,19,Center Attacking Midfield,Levante UD
18163,Moses Daddy-Ajala Simon,Moses Simon,7,166,Nigeria,,,Levante UD
21147,Borja Mayoral Moya,Borja Mayoral,2,214,Spain,23,Center Forward,Levante UD
23344,Aitor Fernández Abarisketa,Aitor Fernández,25,214,Spain,,,Levante UD
3625,Sofiane Boufal,,19,154,Morocco,21,Left Wing,Celta Vigo
5217,Iago Aspas Juncal,Iago Aspas,10,214,Spain,22,Right Center Forward,Celta Vigo
5516,Pione Sisto Ifolo Emirmija,Pione Sisto,11,61,Denmark,21,Left Wing,Celta Vigo
6297,Maximiliano Gómez González,Maxi Gómez,9,242,Uruguay,23,Center Forward,Celta Vigo
6794,Gustavo Daniel Cabral Cáceres,Gustavo Cabral,22,11,Argentina,,,Celta Vigo
6795,Rubén Blanco Veiga,Rubén Blanco,13,214,Spain,1,Goalkeeper,Celta Vigo
6798,Stanislav Lobotka,,14,207,Slovakia,11,Left Defensive Midfield,Celta Vigo
6799,Brais Méndez Portela,Brais Méndez,23,214,Spain,17,Right Wing,Celta Vigo
6805,Hugo Mallo Novegil,Hugo Mallo,2,214,Spain,2,Right Back,Celta Vigo
