player_id,match_id,first_half_start_time,first_half_end_time,first_half_start_reason,first_half_end_reason,second_half_start_time,second_half_end_time,second_half_start_reason,second_half_end_reason
8652,15998,,,,,,,,
11392,15998,,,,,,,,
20055,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
3246,15998,,,,,,,,
3991,15998,84:18,,Substitution - On (Tactical),Final Whistle,84:18,,Substitution - On (Tactical),Final Whistle
6301,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6598,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6599,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6601,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6608,15998,00:00,84:18,Starting XI,Substitution - Off (Tactical),00:00,84:18,Starting XI,Substitution - Off (Tactical)
6610,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6666,15998,81:11,,Substitution - On (Injury),Final Whistle,81:11,,Substitution - On (Injury),Final Whistle
6667,15998,00:00,81:11,Starting XI,Substitution - Off (Injury),00:00,81:11,Starting XI,Substitution - Off (Injury)
6738,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6739,15998,,,,,,,,
6834,15998,73:28,,Substitution - On (Tactical),Final Whistle,73:28,,Substitution - On (Tactical),Final Whistle
9879,15998,,,,,,,,
11730,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
11745,15998,,,,,,,,
16212,15998,00:00,73:28,Starting XI,Substitution - Off (Tactical),00:00,73:28,Starting XI,Substitution - Off (Tactical)
17818,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
3023,16010,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6389,16010,66:44,,Substitution - On (Tactical),Final Whistle,66:44,,Substitution - On (Tactical),Final Whistle
6390,16010,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6391,16010,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6393,16010,00:00,78:06,Starting XI,Substitution - Off (Tactical),00:00,78:06,Starting XI,Substitution - Off (Tactical)
6394,16010,78:06,,Substitution - On (Tactical),Final Whistle,78:06,,Substitution - On (Tactical),Final Whistle
6396,16010,00:00,66:44,Starting XI,Substitution - Off (Tactical),00:00,66:44,Starting XI,Substitution - Off (Tactical)
6649,16010,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6665,16010,00:00,22:46,Starting XI,Substitution - Off (Injury),00:00,22:46,Starting XI,Substitution - Off (Injury)
6699,16010,,,,,,,,
6775,16010,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6789,16010,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6842,16010,,,,,,,,
6877,16010,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
11744,16010,22:46,,Substitution - On (Injury),Final Whistle,22:46,,Substitution - On (Injury),Final Whistle
11746,16010,,,,,,,,
11748,16010,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
349946,16010,,,,,,,,
3501,16010,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5203,16010,50:13,57:07,Substitution - On (Tactical),Tactical Shift,57:07,,Tactical Shift,Final Whistle
5211,16010,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5213,16010,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5246,16010,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5470,16010,00:00,57:07,Starting XI,Tactical Shift,57:07,,Tactical Shift,Final Whistle
5477,16010,00:00,79:23,Starting XI,Substitution - Off (Tactical),00:00,79:23,Starting XI,Substitution - Off (Tactical)
5503,16010,54:32,57:07,Substitution - On (Tactical),Tactical Shift,57:07,,Tactical Shift,Final Whistle
6332,16010,,,,,,,,
6374,16010,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6379,16010,00:00,50:13,Starting XI,Substitution - Off (Tactical),00:00,50:13,Starting XI,Substitution - Off (Tactical)
6616,16010,79:23,,Substitution - On (Tactical),Final Whistle,79:23,,Substitution - On (Tactical),Final Whistle
6826,16010,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6998,16010,,,,,,,,
8206,16010,00:00,54:32,Starting XI,Substitution - Off (Tactical),00:00,54:32,Starting XI,Substitution - Off (Tactical)
8652,16010,,,,,,,,
11392,16010,,,,,,,,
20055,16010,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
3437,16023,78:29,,Substitution - On (Tactical),Final Whistle,78:29,,Substitution - On (Tactical),Final Whistle
3457,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
4367,16023,00:00,07:21,Starting XI,Player Off,10:07,11:02,Player On,Substitution - Off (Injury)
5186,16023,11:02,,Substitution - On (Injury),Final Whistle,11:02,,Substitution - On (Injury),Final Whistle
5718,16023,66:09,,Substitution - On (Tactical),Final Whistle,66:09,,Substitution - On (Tactical),Final Whistle
6401,16023,00:00,66:09,Starting XI,Substitution - Off (Tactical),00:00,66:09,Starting XI,Substitution - Off (Tactical)
6583,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6585,16023,,,,,,,,
6587,16023,,,,,,,,
6589,16023,00:00,78:29,Starting XI,Substitution - Off (Tactical),00:00,78:29,Starting XI,Substitution - Off (Tactical)
6590,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6595,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6596,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6746,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6797,16023,,,,,,,,
6891,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6898,16023,,,,,,,,
11634,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
3501,16023,00:00,83:02,Starting XI,Substitution - Off (Tactical),00:00,83:02,Starting XI,Substitution - Off (Tactical)
5203,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5211,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5213,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5246,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5470,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5477,16023,83:02,,Substitution - On (Tactical),Final Whistle,83:02,,Substitution - On (Tactical),Final Whistle
5503,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6332,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6374,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6609,16023,,,,,,,,
6616,16023,,,,,,,,
6826,16023,,,,,,,,
6998,16023,87:17,,Substitution - On (Tactical),Final Whistle,87:17,,Substitution - On (Tactical),Final Whistle
8206,16023,,,,,,,,
8652,16023,,,,,,,,
11392,16023,00:00,87:17,Starting XI,Substitution - Off (Tactical),00:00,87:17,Starting XI,Substitution - Off (Tactical)
20055,16023,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
3501,16029,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5203,16029,00:00,31:10,Starting XI,Player Off,31:16,,Player On,Final Whistle
5211,16029,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5213,16029,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5246,16029,00:00,80:26,Starting XI,Substitution - Off (Tactical),00:00,80:26,Starting XI,Substitution - Off (Tactical)
5470,16029,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5477,16029,25:55,,Substitution - On (Injury),Final Whistle,25:55,,Substitution - On (Injury),Final Whistle
5503,16029,00:00,18:15,Starting XI,Player Off,25:54,25:55,Player On,Substitution - Off (Injury)
6374,16029,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6379,16029,65:57,,Substitution - On (Tactical),Final Whistle,65:57,,Substitution - On (Tactical),Final Whistle
6616,16029,80:26,,Substitution - On (Tactical),Final Whistle,80:26,,Substitution - On (Tactical),Final Whistle
6826,16029,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6998,16029,,,,,,,,
8206,16029,,,,,,,,
8652,16029,,,,,,,,
11392,16029,00:00,65:57,Starting XI,Substitution - Off (Tactical),00:00,65:57,Starting XI,Substitution - Off (Tactical)
20055,16029,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
41407,16029,,,,,,,,
3610,16029,68:34,78:04,Substitution - On (Tactical),Tactical Shift,78:04,,Tactical Shift,Final Whistle
5218,16029,00:00,78:00,Starting XI,Substitution - Off (Tactical),00:00,78:00,Starting XI,Substitution - Off (Tactical)
5504,16029,00:00,54:07,Starting XI,Tactical Shift,78:04,,Tactical Shift,Final Whistle
5534,16029,00:00,53:58,Starting XI,Substitution - Off (Tactical),00:00,53:58,Starting XI,Substitution - Off (Tactical)
5742,16029,53:58,54:07,Substitution - On (Tactical),Tactical Shift,54:07,,Tactical Shift,Final Whistle
6334,16029,78:00,,Substitution - On (Tactical),Final Whistle,78:00,,Substitution - On (Tactical),Final Whistle
6400,16029,,,,,,,,
6719,16029,00:00,54:07,Starting XI,Tactical Shift,54:07,68:34,Tactical Shift,Substitution - Off (Tactical)
6720,16029,00:00,54:07,Starting XI,Tactical Shift,54:07,,Tactical Shift,Final Whistle
6723,16029,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6724,16029,,,,,,,,
6804,16029,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6821,16029,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6825,16029,00:00,54:07,Starting XI,Tactical Shift,54:07,,Tactical Shift,Final Whistle
6919,16029,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
11541,16029,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
13360,16029,,,,,,,,
23921,16029,,,,,,,,
3109,16056,00:00,56:19,Starting XI,Substitution - Off (Tactical),00:00,56:19,Starting XI,Substitution - Off (Tactical)
5203,16056,00:00,68:53,Starting XI,Substitution - Off (Tactical),00:00,68:53,Starting XI,Substitution - Off (Tactical)
5211,16056,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5213,16056,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5246,16056,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5470,16056,00:00,69:42,Starting XI,Tactical Shift,83:58,,Tactical Shift,Final Whistle
